"","subj","list","time","page","pprog","pracism","phonesty","phelpful","pintel","pchristian","pfriendly","pparty","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","sentence","dog.whistle","sentence.label"
"1",61,1,"2022/05/09 9:35:41 AM GMT+2","40-59",4,1,5,3,2,1,5,"SPD","22","weiblich","Abitur","SPD","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"2",61,1,"2022/05/09 9:35:41 AM GMT+2","60-79",5,3,4,2,5,1,2,"CDU","22","weiblich","Abitur","SPD","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"3",62,1,"2022/05/09 9:38:57 AM GMT+2","60-79",2,4,2,2,2,5,2,"CDU","21","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"4",62,1,"2022/05/09 9:38:57 AM GMT+2","20-39",4,1,3,4,4,2,3,"SPD","21","weiblich","Abitur","Linke","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"5",63,1,"2022/05/09 9:39:44 AM GMT+2","40-59",2,4,2,2,2,4,3,"AfD","28","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"6",63,1,"2022/05/09 9:39:44 AM GMT+2","40-59",3,3,3,3,2,3,3,"CDU","28","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"7",64,1,"2022/05/09 9:54:16 AM GMT+2","60-79",1,4,2,2,2,5,1,"AfD","29","männlich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"8",64,1,"2022/05/09 9:54:16 AM GMT+2","40-59",3,2,3,4,3,4,3,"CDU","29","männlich","Studium","Grüne","Neutral","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"9",65,1,"2022/05/09 9:55:44 AM GMT+2","40-59",2,3,3,2,3,2,2,"AfD","32","männlich","Studium","Grüne","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Neutral",NA,1,"Dog whistle","Kampf für Deutschland"
"10",65,1,"2022/05/09 9:55:44 AM GMT+2","40-59",4,2,2,4,2,3,4,"SPD","32","männlich","Studium","Grüne","Ich stimme zu","Ich stimme nicht zu","Ich stimme zu","Ich stimme nicht zu","Neutral",NA,2,"Control","Hilfe vor Ort"
"11",66,1,"2022/05/09 9:56:40 AM GMT+2","60-79",2,3,3,2,3,5,3,"keine Angabe","24","männlich","Abitur","(no answer)","Neutral","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral",NA,1,"Dog whistle","Kampf für Deutschland"
"12",66,1,"2022/05/09 9:56:40 AM GMT+2","40-59",4,1,3,4,4,3,4,"keine Angabe","24","männlich","Abitur","(no answer)","Neutral","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral",NA,2,"Control","Hilfe vor Ort"
"13",67,1,"2022/05/09 9:57:23 AM GMT+2","40-59",4,2,1,2,3,4,3,"CDU","37","männlich","Abitur","(no answer)","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"14",67,1,"2022/05/09 9:57:23 AM GMT+2","40-59",5,1,4,3,4,4,3,"AfD","37","männlich","Abitur","(no answer)","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"15",68,1,"2022/05/09 9:57:31 AM GMT+2","60-79",2,4,3,2,3,3,2,"AfD","39","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Neutral",NA,1,"Dog whistle","Kampf für Deutschland"
"16",68,1,"2022/05/09 9:57:31 AM GMT+2","20-39",4,1,4,5,4,3,4,"Grüne","39","weiblich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Neutral","Neutral","Neutral",NA,2,"Control","Hilfe vor Ort"
"17",69,1,"2022/05/09 10:05:42 AM GMT+2","20-39",2,4,4,3,3,3,3,"keine Angabe","32","männlich","Studium","(no answer)","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,1,"Dog whistle","Kampf für Deutschland"
"18",69,1,"2022/05/09 10:05:42 AM GMT+2","40-59",3,3,3,3,3,4,3,"CDU","32","männlich","Studium","(no answer)","Neutral","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,2,"Control","Hilfe vor Ort"
"19",70,1,"2022/05/09 10:06:57 AM GMT+2","20-39",3,3,3,3,3,3,3,"keine Angabe","49","männlich","Studium","AfD","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,1,"Dog whistle","Kampf für Deutschland"
"20",70,1,"2022/05/09 10:06:57 AM GMT+2","40-59",4,3,3,3,3,3,3,"FDP","49","männlich","Studium","AfD","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,2,"Control","Hilfe vor Ort"
"21",71,1,"2022/05/09 10:07:09 AM GMT+2","60-79",2,4,3,2,2,3,3,"AfD","23","männlich","Studium","Die Partei","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,1,"Dog whistle","Kampf für Deutschland"
"22",71,1,"2022/05/09 10:07:09 AM GMT+2","40-59",4,2,2,4,4,3,3,"Linke","23","männlich","Studium","Die Partei","Ich stimme zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme nicht zu","Ich stimme zu",NA,2,"Control","Hilfe vor Ort"
"23",72,1,"2022/05/09 10:07:15 AM GMT+2","40-59",2,4,3,2,2,3,2,"AfD","46","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Viel Erfolg!",1,"Dog whistle","Kampf für Deutschland"
"24",72,1,"2022/05/09 10:07:15 AM GMT+2","40-59",4,2,3,4,4,3,4,"FDP","46","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Ich stimme nicht zu","Viel Erfolg!",2,"Control","Hilfe vor Ort"
"25",73,1,"2022/05/09 10:10:20 AM GMT+2","40-59",2,3,2,2,2,2,2,"AfD","26","männlich","Studium","FDP","Neutral","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu",NA,1,"Dog whistle","Kampf für Deutschland"
